Date   , Gold_Reservs_USD_mn, Gold_Volume_mn_troy_oz, Gold_Price[/10gm], Gold_CPI, USDINR, Repo_Rate, Overall_CPI, Inflation_YoY, Inflation_MoM, FPI_Net_INR_Crore, " ""GDP current prices (Billions of U.S. dollars)""", " ""GDP per capita current prices (U.S. dollars per capita)""", Real GDP growth (Annual percent change), Remittances received (Personal remittances received current U.S. $)
2017-12,           20421.6  ,            17.94342006,          29726.25, 99.5    ,  64.24, 6        , 137.2      , 5.21         , -0.29        , -3544            , 2609.908                                            , 1919.534                                                      , 6.8                                    , 68967175500
2018-01,           21514.4  ,            17.94342006,          30564.29, 101.7   ,  63.65, 6        , 136.9      , 5.07         , -0.22        , 22272            , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-02,           21522.5  ,            17.94462111,          30978.95, 103.4   ,  64.43, 6        , 136.4      , 4.44         , -0.37        , -11674           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-03,           21484.2  ,            18.01464556,          31036.84, 103.9   ,  65.05, 6        , 136.5      , 4.28         , 0.07         , 2662             , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-04,           21661.5  ,            18.03464567,          31752.38, 105.4   ,  65.67, 6        , 137.1      , 4.58         , 0.44         , -15561           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-05,           21189.7  ,            18.06469462,          31827.27, 106.3   ,  67.51, 6        , 137.8      , 4.87         , 0.51         , -29776           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-06,           21002.1  ,            18.20469469,          31355.71, 105.7   ,  67.79, 6.25     , 138.5      , 4.92         , 0.51         , -15795           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-07,           20533.6  ,            18.42469485,          30868.18, 104.4   ,  68.69, 6.25     , 139.8      , 4.17         , 0.94         , 2264             , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-08,           20162.3  ,            18.64469499,          30454.76, 102.7   ,  69.63, 6.5      , 140.4      , 3.69         , 0.43         , 5146             , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-09,           20343.4  ,            18.85469515,          31198.89, 104.3   ,  72.28, 6.5      , 140.2      , 3.7          , -0.14        , -21035           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-10,           20815.5  ,            19.0346956 ,          31842.5 , 106.4   ,  73.56, 6.5      , 140.7      , 3.38         , 0.36         , -38906           , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-11,           21150    ,            19.24478016,          31750   , 105.7   ,  71.74, 6.5      , 140.8      , 2.33         , 0.07         , 11595            , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2018-12,           21689.9  ,            19.30478059,          31813.75, 106.5   ,  70.83, 6.5      , 140.1      , 2.11         , -0.5         , 7889             , 2653.495                                            , 1930.293                                                      , 6.5                                    , 78790170929
2019-01,           22686.2  ,            19.5147808 ,          32760.43, 109.1   ,  70.71, 6.5      , 139.6      , 1.97         , -0.36        , -5556            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-02,           23253.1  ,            19.57465647,          33647.5 , 112.5   ,  71.17, 6.25     , 139.9      , 2.57         , 0.21         , 12053            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-03,           23070.91 ,            19.69465657,          32828.95, 110.1   ,  69.49, 6.25     , 140.4      , 2.86         , 0.36         , 48751            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-04,           23021.6  ,            19.87459387,          32571.05, 108.9   ,  69.41, 6        , 141.2      , 2.99         , 0.57         , 16728            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-05,           22958.7  ,            19.87459387,          32593.18, 109.4   ,  69.78, 6        , 142        , 3.05         , 0.57         , 11370            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-06,           24304.5  ,            19.87459388,          33339.47, 112.4   ,  69.39, 5.75     , 142.9      , 3.18         , 0.63         , 13111            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-07,           25505.25 ,            19.87459388,          34293.48, 116.1   ,  68.74, 5.75     , 144.2      , 3.15         , 0.91         , -3003            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-08,           27338.68 ,            19.87459388,          36745.24, 124.6   ,  71.19, 5.4      , 145        , 3.28         , 0.55         , -5871            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-09,           26650.02 ,            19.87459388,          37484.21, 128.2   ,  71.31, 5.4      , 145.8      , 3.99         , 0.55         , 6582             , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-10,           27011.767,            20.11466816,          38005.56, 129.1   ,  71.01, 5.15     , 147.2      , 4.62         , 0.96         , 16069            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-11,           26748.76 ,            20.35465316,          38718.5 , 129.7   ,  71.49, 5.15     , 148.6      , 5.54         , 0.95         , 22999            , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2019-12,           27830.78 ,            20.41465373,          38695.24, 129.8   ,  71.16, 5.15     , 150.4      , 7.35         , 1.21         , 2762             , 2776.336                                            , 1998.758                                                      , 3.9                                    , 83332078002
2020-01,           28997.49 ,            20.41466912,          39987.74, 135.5   ,  71.28, 5.15     , 150.2      , 7.59         , -0.13        , 957              , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-02,           29896.83 ,            20.63467071,          41174.35, 139.4   ,  71.53, 5.15     , 149.1      , 6.58         , -0.73        , 8970             , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-03,           30578.16 ,            20.99472669,          42179.57, ---     ,  74.55, 4.4      , 148.6      , 5.84         , -0.34        , -118203          , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-04,           32277.3  ,            21.05480044,          48723.22, ---     ,  76.17, 4.4      , 151.4      , 7.22         , 1.88         , -14859           , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-05,           32897.7  ,            21.14480524,          48723.22, ---     ,  75.66, 4        , 150.9      , 6.27         , -0.33        , -7356            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-06,           33905.43 ,            21.26480549,          47300.19, 160.6   ,  75.71, 4        , 151.8      , 6.23         , 0.6          , 26009            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-07,           37624.69 ,            21.35478989,          49937.35, 168.4   ,  74.93, 4        , 153.9      , 6.73         , 1.38         , 3301             , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-08,           37847.93 ,            21.48479012,          53144.75, 180.3   ,  74.57, 4        , 154.7      , 6.69         , 0.52         , 49879            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-09,           36428.65 ,            21.48479012,          50904.5 , 174     ,  73.52, 4        , 156.4      , 7.27         , 1.1          , -1196            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-10,           36489.66 ,            21.54479013,          50659.43, 172.8   ,  73.56, 4        , 158.4      , 7.61         , 1.28         , 21826            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-11,           35192.45 ,            21.63479017,          50453.32, 172.5   ,  74.23, 4        , 158.9      , 6.93         , 0.32         , 62782            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2020-12,           36957.92 ,            21.75479449,          49479.14, 169.6   ,  73.62, 4        , 157.3      , 4.59         , -1.01        , 71046            , 2611.953                                            , 1862.198                                                      , -5.8                                   , 83149172934
2021-01,           36491.93 ,            21.75479449,          49620.9 , 170     ,  73.11, 4        , 156.3      , 4.06         , -0.64        , 14631            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-02,           35421.02 ,            22.11484591,          47166.85, 162.6   ,  72.81, 4        , 156.6      , 5.03         , 0.19         , 24013            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-03,           33880.13 ,            22.35492958,          44741.33, 154.7   ,  72.82, 4        , 156.8      , 5.52         , 0.13         , 17023            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-04,           35463.52 ,            22.35492958,          46486.16, 158.9   ,  74.52, 4        , 157.8      , 4.23         , 0.64         , -8836            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-05,           38277.22 ,            22.38492958,          47931.95, 163.6   ,  73.21, 4        , 160.4      , 6.3          , 1.65         , -1958            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-06,           35745.24 ,            22.62493173,          47937.64, 163.7   ,  73.58, 4        , 161.3      , 6.26         , 0.56         , 12974            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-07,           37571.09 ,            22.8649381 ,          47739.95, 163.8   ,  74.54, 4        , 162.5      , 5.59         , 0.74         , -7410            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-08,           37738.76 ,            23.31495725,          47165.7 , 162.1   ,  74.12, 4        , 162.9      , 5.3          , 0.25         , 16556            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-09,           37389.48 ,            23.91495947,          46594.95, 160.6   ,  73.64, 4        , 163.2      , 4.35         , 0.18         , 27756            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-10,           38269.3  ,            24.03495947,          47206.9 , 161.8   ,  74.92, 4        , 165.5      , 4.48         , 1.41         , -12437           , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-11,           38777.37 ,            24.12495949,          48177.45, 164.7   ,  74.48, 4        , 166.7      , 4.91         , 0.73         , -2521            , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2021-12,           39404.52 ,            24.2449843 ,          47945.91, 164.4   ,  75.39, 4        , 166.2      , 5.66         , -0.3         , -29702           , 3084.517                                            , 2181.098                                                      , 9.7                                    , 89375152218
2022-01,           39086.53 ,            24.28738117,          48015.84, 164.2   ,  74.41, 4        , 165.7      , 6.01         , -0.3         , -28526           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-02,           41337.58 ,            24.36897574,          49308.7 , 166.4   ,  74.97, 4        , 166.1      , 6.07         , 0.24         , -38068           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-03,           42551.13 ,            24.44814119,          51782.33, 173.2   ,  76.19, 4        , 167.7      , 6.95         , 0.96         , -50068           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-04,           42106.64 ,            24.4781824 ,          51991.63, 175.8   ,  76.17, 4        , 170.1      , 7.79         , 1.43         , -22688           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-05,           41065.58 ,            24.59819806,          50888.24, 171.8   ,  77.29, 4.4      , 171.7      , 7.04         , 0.94         , -36518           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-06,           40389.6  ,            24.6883947 ,          46519.23, 172.2   ,  78.09, 4.9      , 172.6      , 7.01         , 0.52         , -51422           , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-07,           39639.57 ,            25.11917876,          44034.38, 170.4   ,  79.59, 4.9      , 173.4      , 6.71         , 0.46         , 1971             , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-08,           39590.97 ,            25.11917876,          44731.5 , 172.5   ,  79.51, 5.4      , 174.3      , 7            , 0.52         , 56521            , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-09,           37604.91 ,            25.24971468,          43279.91, 169.2   ,  80.25, 5.9      , 175.3      , 7.41         , 0.57         , -3955            , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-10,           37496.01 ,            25.27971535,          43923.19, 170.4   ,  82.29, 5.9      , 176.7      , 6.77         , 0.8          , -3080            , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-11,           39876.98 ,            25.27971535,          44967.33, 173     ,  81.68, 5.9      , 176.5      , 5.88         , -0.11        , 33847            , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2022-12,           41290.89 ,            25.3145198 ,          46776.67, 178.8   ,  82.47, 6.25     , 175.7      , 5.72         , -0.45        , 9171             , 3249.939                                            , 2279.982                                                      , 7.6                                    , 1.11222E+11
2023-01,           43836.9  ,            25.3145198 ,          48803.24, 186     ,  81.74, 6.25     , 176.5      , 6.52         , 0.46         , -26544           , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-02,           41630.95 ,            25.43458787,          49056.35, 189.1   ,  82.6 , 6.5      , 176.8      , 6.44         , 0.17         , -4139            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-03,           45200.31 ,            25.54815772,          50009.57, 191.7   ,  82.27, 6.5      , 177.2      , 5.66         , 0.23         , 5899             , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-04,           45585.45 ,            25.54815772,          52160.59, 200.1   ,  81.97, 6.5      , 178.1      , 4.7          , 0.51         , 13545            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-05,           44999.05 ,            25.60831193,          52532.91, 203     ,  82.3 , 6.5      , 179.1      , 4.31         , 0.56         , 48330            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-06,           43832.28 ,            25.63831196,          51216.95, 200     ,  82.23, 6.5      , 181        , 4.87         , 1.06         , 56258            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-07,           45109.48 ,            25.64750988,          51180.33, 198.9   ,  82.16, 6.5      , 186.3      , 7.44         , 2.93         , 47977            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-08,           45060    ,            25.7075107 ,          50917.05, 198.5   ,  82.81, 6.5      , 186.2      , 6.83         , -0.05        , 18338            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-09,           43341.94 ,            25.74590031,          50965.75, 198.8   ,  83.07, 6.5      , 184.1      , 5.02         , -1.13        , -13810           , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-10,           46448.82 ,            25.83590043,          55317.1 , 198.6   ,  83.22, 6.5      , 185.3      , 4.87         , 0.65         , -17875           , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-11,           47596.32 ,            25.83590043,          60827.55, 203.3   ,  83.27, 6.5      , 186.3      , 5.55         , 0.54         , 24546            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2023-12,           47955.56 ,            25.83590043,          62277.1 , 207.3   ,  83.25, 6.5      , 185.7      , 5.69         , -0.32        , 84537            , 3500.906                                            , 2434.448                                                      , 7.2                                    , 1.19526E+11
2024-01,           47967.45 ,            26.08706064,          62313.32, 208.6   ,  83.11, 6.5      , 185.5      , 5.1          , -0.11        , -6593            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-02,           48047.84 ,            26.26706091,          62057.24, 208.4   ,  82.95, 6.5      , 185.8      , 5.09         , 0.16         , 31817            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-03,           52674.83 ,            26.43104906,          65176.21, 216.5   ,  83.02, 6.5      , 185.8      , 4.85         , 0            , 51996            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-04,           55888.39 ,            26.61104906,          71492.5 , 235.7   ,  83.4 , 6.5      , 186.7      , 4.83         , 0.48         , -16260           , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-05,           56501.29 ,            26.73104969,          72188.38, 240     ,  83.39, 6.5      , 187.7      , 4.8          , 0.54         , -12911           , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-06,           56528.43 ,            27.03105687,          71595.16, 239.6   ,  83.46, 6.5      , 190.2      , 5.08         , 1.33         , 41757            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-07,           58524.54 ,            27.20521409,          71556.7 , 240.3   ,  83.59, 6.5      , 193        , 3.6          , 1.47         , 48796            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-08,           61742.21 ,            27.2952263 ,          70400.43, 237.4   ,  83.89, 6.5      , 193        , 3.65         , 0            , 25493            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-09,           65749.49 ,            27.44519353,          72851.52, 244.5   ,  83.79, 6.5      , 194.2      , 5.49         , 0.62         , 93538            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-10,           69750.57 ,            27.90000589,          76680.68, 256.1   ,  84.01, 6.5      , 196.8      , 6.21         , 1.34         , -96358           , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-11,           67212.01 ,            28.16997475,          76263.11, 257.5   ,  84.33, 6.5      , 196.5      , 5.48         , -0.15        , -21444           , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2024-12,           66148.45 ,            28.16997475,          76263.81, 257.2   ,  84.97, 6.5      , 195.4      , 5.22         , -0.56        , 25938            , 3760.814                                            , 2591.992                                                      , 7.1                                    , 1.37675E+11
2025-01,           70892.84 ,            28.26076695,          78642.13, 263.6   ,  86.27, 6.5      , 193.4      , 4.26         , -1.02        , -77211           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-02,           73272.26 ,            28.26076695,          84888.4 , 282.6   ,  87.06, 6.25     , 192.5      , 3.61         , -0.47        , -24301           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-03,           78176.35 ,            28.27927278,          86902.26, 290.4   ,  86.52, 6.25     , 192        , 3.34         , -0.26        , 32981            , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-04,           84117.97 ,            28.27927278,          93147.63, 308.5   ,  85.58, 6        , 192.6      , 3.16         , 0.31         , -20190           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-05,           83418.11 ,            28.27929198,          94673.95, 317.8   ,  85.25, 6        , 193        , 2.82         , 0.21         , 30950            , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-06,           83308.18 ,            28.29208856,          97091.43, 325.7   ,  85.88, 5.5      , 194.2      , 2.1          , 0.62         , -7563            , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-07,           84136.99 ,            28.29208856,          97587.43, 326.9   ,  86.17, 5.5      , 196.1      , 1.61         , 0.98         , -5538            , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-08,           87316.03 ,            28.29208856,          99683.47, 333.2   ,  87.57, 5.5      , 197        , 2.07         , 0.46         , -20505           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-09,           97464.66 ,            28.2984869 ,         109531.32, 359.4   ,  88.32, 5.5      , 197        , 1.44         , 0            , -12539           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-10,          101725.56 ,            28.2984869 ,         122294.3 , 404.2   ,  88.37, 5.5      , 197.3      , 0.25         , 0.15         , 35598            , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-11,          106740    ,            28.2984869 ,         122834   , 408.4   ,  88.84, 5.5      , 197.9      , 0.71         , 0.3          , 2836             , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2025-12,          111262    ,            28.30368764,         131322.55, 433.9   ,  90.04, 5.25     , 198        , 1.33         , 0.05         , -38568           , 3916.312                                            , 2675.322                                                      , 7.6                                    , ---
2026-01,          126904    ,            28.30370717,         146169.8 , ---     ,  90.9 , 5.25     , ---        , 2.38         , 0            , -29240           , ---                                                 , ---                                                           , ---                                    , ---
2026-02,          131630    ,            28.30370924,         154370.4 , ---     ,  90.75, 5.25     , ---        , 2.86         , 0            , 37804            , ---                                                 , ---                                                           , ---                                    , ---
2026-03,          115395    ,            28.3093077 ,         147395   , ---     ,  92.82, 5.25     , ---        , 3.12         , 0            , -125736          , ---                                                 , ---                                                           , ---                                    , ---
